=== Log do EVRP - Instância Modificatification of E-n23-k3 instance. Modified by Mavrovouniotis Menelaou. ===
Clientes: 22
Veículos mínimos: 3

=== Histórico de Melhores Distâncias ===
Geração 1021: 618.67
Geração 1022: 618.67
Geração 1023: 618.67
Geração 1024: 618.67
Geração 1025: 618.67
Geração 1026: 618.67
Geração 1027: 618.67
Geração 1028: 618.67
Geração 1029: 618.67
Geração 1030: 618.67
Geração 1031: 618.67
Geração 1032: 618.67
Geração 1033: 618.67
Geração 1034: 618.67
Geração 1035: 618.67
Geração 1036: 618.67
Geração 1037: 618.67
Geração 1038: 618.67
Geração 1039: 618.67
Geração 1040: 618.67
Geração 1041: 618.67
Geração 1042: 618.67
Geração 1043: 618.67
Geração 1044: 618.67
Geração 1045: 618.67
Geração 1046: 618.67
Geração 1047: 618.67
Geração 1048: 618.67
Geração 1049: 618.67
Geração 1050: 618.67
Geração 1051: 618.67
Geração 1052: 618.67
Geração 1053: 618.67
Geração 1054: 618.67
Geração 1055: 618.67
Geração 1056: 618.67
Geração 1057: 618.67
Geração 1058: 618.67
Geração 1059: 618.67
Geração 1060: 618.67
Geração 1061: 618.67
Geração 1062: 618.67
Geração 1063: 618.67
Geração 1064: 618.67
Geração 1065: 618.67
Geração 1066: 618.67
Geração 1067: 618.67
Geração 1068: 618.67
Geração 1069: 618.67
Geração 1070: 618.67
Geração 1071: 618.67
Geração 1072: 618.67
Geração 1073: 618.67
Geração 1074: 618.67
Geração 1075: 618.67
Geração 1076: 618.67
Geração 1077: 618.67
Geração 1078: 618.67
Geração 1079: 618.67
Geração 1080: 618.67
Geração 1081: 618.67
Geração 1082: 618.67
Geração 1083: 618.67
Geração 1084: 618.67
Geração 1085: 618.67
Geração 1086: 618.67
Geração 1087: 618.67
Geração 1088: 618.67
Geração 1089: 618.67
Geração 1090: 618.67
Geração 1091: 618.67
Geração 1092: 618.67
Geração 1093: 618.67
Geração 1094: 618.67
Geração 1095: 618.67
Geração 1096: 618.67
Geração 1097: 618.67
Geração 1098: 618.67
Geração 1099: 618.67
Geração 1100: 618.67
Geração 1101: 618.67
Geração 1102: 618.67
Geração 1103: 618.67
Geração 1104: 618.67
Geração 1105: 618.67
Geração 1106: 618.67
Geração 1107: 618.67
Geração 1108: 618.67
Geração 1109: 618.67
Geração 1110: 618.67
Geração 1111: 618.67
Geração 1112: 618.67
Geração 1113: 618.67
Geração 1114: 618.67
Geração 1115: 618.67
Geração 1116: 618.67
Geração 1117: 618.67
Geração 1118: 618.67
Geração 1119: 618.67
Geração 1120: 618.67
Geração 1121: 618.67
Geração 1122: 618.67
Geração 1123: 618.67
Geração 1124: 618.67
Geração 1125: 618.67
Geração 1126: 618.67
Geração 1127: 618.67
Geração 1128: 618.67
Geração 1129: 618.67
Geração 1130: 618.67
Geração 1131: 618.67
Geração 1132: 618.67
Geração 1133: 618.67
Geração 1134: 618.67
Geração 1135: 618.67
Geração 1136: 618.67
Geração 1137: 618.67
Geração 1138: 618.67
Geração 1139: 618.67
Geração 1140: 618.67
Geração 1141: 618.67
Geração 1142: 618.67
Geração 1143: 618.67
Geração 1144: 618.67
Geração 1145: 618.67
Geração 1146: 618.67
Geração 1147: 618.67
Geração 1148: 618.67
Geração 1149: 618.67
Geração 1150: 618.67
Geração 1151: 618.67
Geração 1152: 618.67
Geração 1153: 618.67
Geração 1154: 618.67
Geração 1155: 618.67
Geração 1156: 618.67
Geração 1157: 618.67
Geração 1158: 618.67
Geração 1159: 618.67
Geração 1160: 618.67
Geração 1161: 618.67
Geração 1162: 618.67
Geração 1163: 618.67
Geração 1164: 618.67
Geração 1165: 618.67
Geração 1166: 618.67
Geração 1167: 618.67
Geração 1168: 618.67
Geração 1169: 618.67
Geração 1170: 618.67
Geração 1171: 618.67
Geração 1172: 618.67
Geração 1173: 618.67
Geração 1174: 618.67
Geração 1175: 618.67
Geração 1176: 618.67
Geração 1177: 618.67
Geração 1178: 618.67
Geração 1179: 618.67
Geração 1180: 618.67
Geração 1181: 618.67
Geração 1182: 618.67
Geração 1183: 618.67
Geração 1184: 618.67
Geração 1185: 618.67
Geração 1186: 618.67
Geração 1187: 618.67
Geração 1188: 618.67
Geração 1189: 618.67
Geração 1190: 618.67
Geração 1191: 618.67
Geração 1192: 618.67
Geração 1193: 618.67
Geração 1194: 618.67
Geração 1195: 618.67
Geração 1196: 618.67
Geração 1197: 618.67
Geração 1198: 618.67
Geração 1199: 618.67
Geração 1200: 618.67
Geração 1201: 618.67
Geração 1202: 618.67
Geração 1203: 618.67
Geração 1204: 618.67
Geração 1205: 618.67
Geração 1206: 618.67
Geração 1207: 618.67
Geração 1208: 618.67
Geração 1209: 618.67
Geração 1210: 618.67
